Key,Name,Calories,Fat,Protein,Carbs,Fiber
1,Pecans,691,72,9,14,10
2,Walnuts,654,65,15,14,7
3,Hazelnuts,628,61,15,17,10
4,Sunflower Seeds,584,51,21,20,9
5,Almonds,575,49,21,22,12
6,Sesame Seeds,573,50,18,23,12
7,Pumpkin Seeds,541,46,25,18,4
8,Soybeans,446,20,36,30,9
9,Quinoa,368,6,14,64,7
10,"Beans, Pinto",347,1,21,63,15
11,Black Beans,341,1,22,62,15
12,"Beans, Kidney",337,1,23,61,15
13,"Beans, Navy",337,1,22,61,24
14,Cranberry Beans,335,1,23,60,25
15,"Mushrooms, Shiitake",296,1,10,75,11
16,Avacado,160,15,2,9,7
17,Garlic,149,0,6,33,2
18,Yams,118,0,2,28,4
19,Bananas,89,0,1,23,3
20,Sweet Potato,86,0,2,20,3
21,Corn,86,1,3,19,3
22,Pomegranates,83,1,2,19,4
23,Peas,81,0,5,14,5
24,"Potatoes, Russet",79,0,2,18,1
25,Parsnips,75,0,1,18,5
26,Figs,74,0,1,19,3
27,Shallots,72,0,3,17,0
28,Kumquats,71,1,2,16,6
29,"Potatoes, Red",70,0,2,16,2
30,Guava,68,1,3,14,5
31,Grapes,67,0,1,17,1
32,Cherries,63,0,1,16,2
33,Leeks,61,0,1,14,2
34,Pears,58,0,0,15,3
35,Blueberries,57,0,1,14,2
36,Tangerines,53,0,1,13,2
37,Apples,52,0,0,14,2
38,Raspberries,52,1,1,12,6
39,Pineapple,50,0,1,13,1
40,Kale,50,1,3,10,2
41,Apricots,48,0,1,11,2
42,Oranges,47,0,1,12,2
43,Artichokes,47,0,3,11,5
44,Cranberries,46,0,0,12,5
45,Beets,43,0,2,10,3
46,Blackberries,43,0,1,10,5
47,Grapefruit,42,0,1,11,2
48,Celeriac,42,0,1,9,2
49,Sugar Snap Peas,42,0,3,8,3
50,Carrots,41,0,1,10,3
51,Acorn Squash,40,0,1,10,1
52,Onion,40,0,1,9,2
53,Papaya,39,0,1,10,2
54,Peaches,39,0,1,10,1
55,"Mushrooms, Maitake",37,0,2,7,3
56,Honeydew,36,0,1,9,1
57,Rutabagas,36,0,1,8,3
58,Cantaloupe,34,0,1,9,1
59,Broccoli,34,0,3,7,3
60,Serrano Pepper,32,0,2,8,4
61,Strawberries,32,0,0,8,2
62,Green Beans,31,0,2,7,3
63,Okra,31,0,2,7,3
64,Spaghetti Squash,31,1,1,7,0
65,Sweet Red Peppers,31,0,1,6,2
66,Limes,30,0,1,11,3
67,Watermelon,30,0,1,8,0
68,Collards,30,0,2,6,4
69,Lemons,29,0,1,9,3
70,Turnips,28,0,1,6,2
71,Sweet Yellow Peppers,27,0,1,6,1
72,Banana Peppers,27,0,2,5,3
73,Mustard Greens,26,0,3,5,3
74,Cabbage,25,0,1,6,3
75,Cauliflower,25,0,2,5,3
76,Eggplant,24,0,0,6,1
77,Spinach,23,0,3,4,2
78,Rhubarb,21,0,1,5,2
79,Sweet Green Pepper,20,0,1,5,2
80,Asparagus,20,0,2,4,2
81,Swiss Chard,19,0,2,4,2
82,Tomatoes,18,0,1,4,1
83,Celery,16,0,1,3,2
84,Radish,16,0,1,3,2
85,Summer Squash,16,0,1,3,1
86,Cucumbers,15,0,1,4,0
87,Lettuce,15,0,1,3,1
