Key,Name,Calories,Fat,Protein,Carbs,Fiber
167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,307,13.24,5.88,41.18,1.2
167513,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,330,11.27,4.34,53.42,1.4
167514,Kraft Foods Shake N Bake Original Recipe Coating For Pork Dry,377,3.7,6.1,79.8,0
167515,George Weston Bakeries Thomas English Muffins,232,1.8,8,46,0
167516,Waffles Buttermilk Frozen Ready-To-Heat,273,9.22,6.58,41.05,2.2
167517,Waffle Buttermilk Frozen Ready-To-Heat Toasted,309,9.49,7.42,48.39,2.6
167518,Waffle Buttermilk Frozen Ready-To-Heat Microwaved,289,9.4,6.92,44.16,2.4
167519,Waffle Plain Frozen Ready-To-Heat Microwave,298,9.91,6.71,45.41,2.4
167520,Pie Crust Cookie-Type Graham Cracker Ready Crust,501,24.83,5.1,64.3,1.9
167521,Pie Crust Cookie-Type Chocolate Ready Crust,484,22.42,6.08,64.48,2.7
167522,Dutch Apple Pie,290,11.5,2.17,44.54,1.6
167523,Pie Crust Deep Dish Frozen Unbaked Made With Enriched Flour,468,28.74,5.52,46.79,1.4
167524,Waffles Chocolate Chip Frozen Ready-To-Heat,297,10.1,5.8,45.68,1.5
167525,Tostada Shells Corn,474,23.38,6.15,64.43,5.8
167526,Bread Salvadoran Sweet Cheese (Quesadilla Salvadorena),374,17.12,7.12,47.84,0.7
167527,Bread Pound Cake Type Pan De Torta Salvadoran,390,17.45,7.06,51.29,1.7
167528,Pastry Pastelitos De Guava (Guava Pastries),379,18.5,5.48,47.76,2.2
167529,Crackers Snack Goya Crackers,433,13.35,14.25,64.35,3.8
167530,Crackers Cream Gamesa Sabrosas,484,20.37,7.01,64.55,2.4
167531,Crackers Cream La Moderna Rikis Cream Crackers,464,19.5,7.19,64.88,2.4
167532,Bread White Wheat,238,2.15,10.66,43.91,9.2
167533,Bagels Wheat,250,1.53,10.2,48.89,4.1
167534,Cream Puff Eclair Custard Or Cream Filled Iced,334,18.52,4.41,37.43,0.9
167535,Tortillas Ready-To-Bake Or -Fry Flour Shelf Stable,297,7.58,8.01,49.27,2.4
167536,Snacks Beef Jerky Chopped And Formed,410,25.6,33.2,11,1.8
167537,Snacks Corn-Based Extruded Chips Plain,539,33.36,6.17,57.27,4
167538,Snacks Corn-Based Extruded Chips Barbecue-Flavor,523,32.7,7,56.2,5.2
167539,Snacks Corn-Based Extruded Cones Plain,510,26.9,5.8,62.9,1.1
167540,Snacks Fruit Leather Pieces,359,2.68,1,82.82,0
167541,Snacks Fruit Leather Rolls,371,3,0.1,85.8,0
167542,Snacks Granola Bars Hard Plain,471,19.8,10.1,64.4,5.3
167543,Snacks Granola Bars Hard Almond,495,25.5,7.7,62,4.8
167544,Snacks Granola Bars Soft Uncoated Raisin,448,17.8,7.6,66.4,4.2
167545,Snacks Granola Bars Soft Coated Milk Chocolate Coating Chocolate Chip,466,24.9,5.8,63.8,3.4
167546,Honey-Combed With Peanut Butter,473,20.18,8.72,67.41,1.9
167547,Snacks Granola Bars Soft Coated Milk Chocolate Coating Peanut Butter,508,31.1,10.2,53.4,2.8
167548,Snacks Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip,432,20,9.8,62.2,4.2
167549,Snacks Popcorn Oil-Popped Microwave Regular Flavor No Trans Fat,583,43.55,7.29,45.06,8.1
167550,Snacks Popcorn Cakes,384,3.1,9.7,80.1,2.9
167551,Snacks Popcorn Caramel-Coated With Peanuts,400,7.8,6.4,80.7,3.8
167552,Snacks Popcorn Caramel-Coated Without Peanuts,431,12.8,3.8,79.1,5.2
167553,Snacks Potato Chips Made From Dried Potatoes Reduced Fat,502,26.14,4.56,64.76,3.2
167554,Snacks Potato Chips Made From Dried Potatoes Sour-Cream And Onion-Flavor,547,37,6.6,51.3,1.2
167555,Snacks Pretzels Hard Plain Salted,384,2.93,10.04,80.39,3.4
167556,Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor,457,16.7,7.5,70.9,2.4
167557,Snacks Rice Cakes Brown Rice Sesame Seed,392,3.8,7.6,81.5,5.4
167558,Snacks Tortilla Chips Plain White Corn Salted,472,20.68,7.1,67.78,5.4
167559,Snacks Tortilla Chips Nacho Cheese,519,27.42,7.36,60.81,5.1
167560,Snacks Tortilla Chips Ranch-Flavor,501,24.63,7.19,62.74,4
167561,Snacks Trail Mix Regular,462,29.4,13.8,44.9,0
167562,Almond Joy Candy Bar,479,26.93,4.13,59.51,5
167563,Twizzlers Cherry Bites,338,1.7,2.97,79.38,0.1
167564,Nestle Bit-O-Honey Candy Chews,388,7.5,2,80.89,0.2
167565,Nestle Butterfinger Bar,459,18.9,5.4,72.9,2
167566,Caramels Chocolate-Flavor Roll,387,3.31,1.59,87.73,0.1
167567,Baking Chocolate Unsweetened Liquid,472,47.7,12.1,36.2,18.1
167568,Unsweetened Baking Chocolate,642,52.31,14.32,28.42,16.6
167569,Confectioners Coating Yogurt,522,27,5.87,63.94,0
167570,Confectioners Coating Peanut Butter,529,29.8,18.3,46.88,5
167571,White Chocolate,539,32.09,5.87,59.24,0.2
167572,Ice Creams Vanilla Light,180,4.83,4.78,29.46,0.3
167573,Ice Creams Vanilla Rich,249,16.2,3.5,22.29,0
167574,Desserts Flan Caramel Custard Prepared-From-Recipe,145,4.03,4.53,22.78,0
167575,Ice Creams Vanilla,207,11,3.5,23.6,0.7
167576,Ice Creams Vanilla Light Soft-Serve,126,2.6,4.9,21.8,0
167577,Sherbet Orange,144,2,1.1,30.4,1.3
167578,Fudge Peanut Butter Prepared-From-Recipe,387,6.59,3.78,77.75,0.7
